ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
abasourdie	abazuRdi	abasourdi	ADJ	f	s	0.40	2.64	0.14	0.54		2	6	0	10	8	VCVCVVCCVV	VCVCVCCV	2	0	0	8	a-ba-zuR-di	4	V-CV-CVC-CV	eidruosaba	idRuzaba	a-ba-sour-die	ADJ,VER	100	11	2.95	3.1	abasourdi	1
abasourdie	abazuRdi	abasourdir	VER	f	s	0.55	2.97	0.12	0.54	par:pas;	2	6	0	10	8	VCVCVVCCVV	VCVCVCCV	2	0	0	8	a-ba-zuR-di	4	V-CV-CVC-CV	eidruosaba	idRuzaba	a-ba-sour-die	ADJ,VER	100	18	2.95	3.1	abasourdir	1
abasourdir	abazuRdiR	abasourdir	VER			0.55	2.97	0.01	0.14	inf;	1	1	1	10	9	VCVCVVCCVC	VCVCVCCVC	2	0	10	9	a-ba-zuR-diR	4	V-CV-CVC-CVC	ridruosaba	RidRuzaba	a-ba-sour-dir	VER	100	18	3.2	3.35	abasourdir	1
abasourdis	abazuRdi	abasourdi	ADJ	m	p	0.40	2.64	0.02	0.07		2	6	0	10	8	VCVCVVCCVC	VCVCVCCV	2	0	0	8	a-ba-zuR-di	4	V-CV-CVC-CV	sidruosaba	idRuzaba	a-ba-sour-dis	ADJ,VER	100	11	3	3.1	abasourdi	1
abasourdis	abazuRdi	abasourdir	VER	m	p	0.55	2.97	0.07	0.20	par:pas;	2	6	0	10	8	VCVCVVCCVC	VCVCVCCV	2	0	0	8	a-ba-zuR-di	4	V-CV-CVC-CV	sidruosaba	idRuzaba	a-ba-sour-dis	ADJ,VER	100	18	3	3.1	abasourdir	1
abasourdissant	abazuRdis@	abasourdissant	ADJ	m	s	0.01	0.07	0.01	0.00		1	2	1	14	10	VCVCVVCCVCCVCC	VCVCVCCVCV	0	0	10	9	a-ba-zuR-di-s@	5	V-CV-CVC-CV-CV	tnassidruosaba	@sidRuzaba		ADJ			3.5	3.6	abasourdissant	1
abasourdissants	abazuRdis@	abasourdissant	ADJ	m	p	0.01	0.07	0.00	0.07		1	2	0	15	10	VCVCVVCCVCCVCCC	VCVCVCCVCV	0	0	0	9	a-ba-zuR-di-s@	5	V-CV-CVC-CV-CV	stnassidruosaba	@sidRuzaba	a-ba-sour-dis-sants	ADJ			4.1	3.6	abasourdissant	1
abat	aba	abat	NOM	m	s	0.65	1.01	0.13	0.20		2	4	1	4	3	VCVC	VCV	1	20	4	3	a-ba	2	V-CV	taba	aba	a-bat	NOM,VER	92	13	1.8	1	abat	1
abat	aba	abattre	VER			43.47	50.61	2.15	4.93	ind:pre:3s;	2	4	0	4	3	VCVC	VCV	1	20	4	3	a-ba	2	V-CV	taba	aba	a-bat	NOM,VER	93	15	1.8	1	abattre	1
abat-jour	abaZuR	abat-jour	NOM	m		0.51	8.24	0.51	8.24		1	1	1	9	6	VCVC-CVVC	VCVCVC	0	0	6	4	a-ba-ZuR	3	V-CV-CVC	ruoj-taba	RuZaba	abat-jour	NOM			3.8	2.45	abat-jour	2
abat-son	abas§	abat-son	NOM	m		0.00	0.27	0.00	0.27		1	1	1	8	5	VCVC-CVC	VCVCV	0	3	6	5	a-ba-s§	3	V-CV-CV	nos-taba	§saba	abat-son	NOM			3.4	1.75	abat-son	2
abatage	abataZ	abatage	NOM	m	s	0.00	0.07	0.00	0.07		1	3	1	7	6	VCVCVCV	VCVCVC	0	0	5	6	a-ba-taZ	3	V-CV-CVC	egataba	Zataba	a-ba-ta-ge	NOM	76	30	2.1	1.95	abat-age	2
abatis	abati	abatis	NOM	m		0.00	0.88	0.00	0.88		1	4	1	6	5	VCVCVC	VCVCV	1	11	5	5	a-ba-ti	3	V-CV-CV	sitaba	itaba	a-ba-tis	NOM	68	19	1.85	1.25	abatis	1
abats	aba	abat	NOM	m	p	0.65	1.01	0.52	0.81		2	4	0	5	3	VCVCC	VCV	1	20	0	3	a-ba	2	V-CV	staba	aba	a-bats	NOM,VER	92	13	1.75	1	abat	1
abats	aba	abattre	VER			43.47	50.61	1.79	0.54	imp:pre:2s;ind:pre:1s;ind:pre:2s;	2	4	0	5	3	VCVCC	VCV	1	20	0	3	a-ba	2	V-CV	staba	aba	a-bats	NOM,VER	93	15	1.75	1	abattre	1
abattage	abataZ	abattage	NOM	m	s	0.65	1.28	0.63	1.15		1	3	1	8	6	VCVCCVCV	VCVCVC	0	0	7	6	a-ba-taZ	3	V-CV-CVC	egattaba	Zataba	a-bat-ta-ge	NOM	100	13	2.2	1.95	abattre-age	2
abattages	abataZ	abattage	NOM	m	p	0.65	1.28	0.02	0.14		1	3	0	9	6	VCVCCVCVC	VCVCVC	0	0	0	6	a-ba-taZ	3	V-CV-CVC	segattaba	Zataba	a-bat-ta-ges	NOM	100	13	2.35	1.95	abattre-age	2
abattaient	abatE	abattre	VER			43.47	50.61	0.06	2.36	ind:imp:3p;	1	3	0	10	5	VCVCCVVVCC	VCVCV	1	10	0	0	a-ba-tE	3	V-CV-CV	tneiattaba	Etaba	a-bat-taient	VER	93	15	1.95	1.3	abattre	1
abattais	abatE	abattre	VER			43.47	50.61	0.02	0.27	ind:imp:1s;	1	3	0	8	5	VCVCCVVC	VCVCV	1	10	0	0	a-ba-tE	3	V-CV-CV	siattaba	Etaba	a-bat-tais	VER	93	15	1.75	1.3	abattre	1
abattait	abatE	abattre	VER			43.47	50.61	0.42	3.45	ind:imp:3s;	1	3	0	8	5	VCVCCVVC	VCVCV	3	10	0	0	a-ba-tE	3	V-CV-CV	tiattaba	Etaba	a-bat-tait	VER	93	15	1.65	1.3	abattre	1
abattant	abat@	abattant	NOM	m	s	0.07	0.61	0.05	0.54		2	3	1	8	5	VCVCCVCC	VCVCV	3	9	7	5	a-ba-t@	3	V-CV-CV	tnattaba	@taba	a-bat-tant	NOM,VER	76	21	1.7	1.35	a-battant	2
abattant	abat@	abattre	VER			43.47	50.61	0.31	1.96	par:pre;	2	3	0	8	5	VCVCCVCC	VCVCV	3	9	7	5	a-ba-t@	3	V-CV-CV	tnattaba	@taba	a-bat-tant	NOM,VER	93	15	1.7	1.35	abattre	1
abattants	abat@	abattant	NOM	m	p	0.07	0.61	0.01	0.07		1	3	0	9	5	VCVCCVCCC	VCVCV	0	9	0	5	a-ba-t@	3	V-CV-CV	stnattaba	@taba	a-bat-tants	NOM	76	21	2.3	1.35	a-battant	2
abatte	abat	abattre	VER			43.47	50.61	0.58	0.61	sub:pre:1s;sub:pre:3s;	1	3	0	6	4	VCVCCV	VCVC	1	6	0	0	a-bat	2	V-CVC	ettaba	taba	a-bat-te	VER	93	15	1.65	1.2	abattre	1
abattement	abat°m@	abattement	NOM	m	s	0.18	2.64	0.17	2.36		1	2	1	10	7	VCVCCVCVCC	VCVCVCV	0	1	7	5	a-ba-t°-m@	4	V-CV-CV-CV	tnemettaba	@m°taba	a-bat-te-ment	NOM	90	20	2.5		abattre-ment	2
abattements	abat°m@	abattement	NOM	m	p	0.18	2.64	0.01	0.27		1	2	0	11	7	VCVCCVCVCCC	VCVCVCV	1	1	0	5	a-ba-t°-m@	4	V-CV-CV-CV	stnemettaba	@m°taba	a-bat-te-ments	NOM	90	20	2.6		abattre-ment	2
abattent	abat	abattre	VER			43.47	50.61	0.69	2.03	ind:pre:3p;	1	3	0	8	4	VCVCCVCC	VCVC	2	6	0	0	a-bat	2	V-CVC	tnettaba	taba	a-bat-tent	VER	93	15	1.8	1.2	abattre	1
abattes	abat	abattre	VER			43.47	50.61	0.11	0.00	sub:pre:2s;	1	3	0	7	4	VCVCCVC	VCVC	3	6	0	0	a-bat	2	V-CVC	settaba	taba	a-bat-tes	VER	93	15	1.7	1.2	abattre	1
abatteur	abat9R	abatteur	NOM	m	s	0.14	0.27	0.14	0.20		1	2	1	8	6	VCVCCVVC	VCVCVC	0	3	7	5	a-ba-t9R	3	V-CV-CVC	ruettaba	R9taba	a-bat-teur	NOM	64	17	1.9	1.7	abattre-eur	2
abatteurs	abat9R	abatteur	NOM	m	p	0.14	0.27	0.00	0.07		1	2	0	9	6	VCVCCVVCC	VCVCVC	0	3	0	5	a-ba-t9R	3	V-CV-CVC	sruettaba	R9taba	a-bat-teurs	NOM	64	17	2.15	1.7	abattre-eur	2
abattez	abate	abattre	VER			43.47	50.61	2.21	0.00	imp:pre:2p;ind:pre:2p;	1	1	0	7	5	VCVCCVC	VCVCV	1	8	0	0	a-ba-te	3	V-CV-CV	zettaba	etaba	a-bat-tez	VER	93	15	1.7	1.35	abattre	1
abattiez	abatje	abattre	VER			43.47	50.61	0.06	0.00	ind:imp:2p;	1	1	0	8	6	VCVCCVVC	VCVCYV	1	3	0	0	a-ba-tje	3	V-CV-CYV	zeittaba	ejtaba	a-bat-tiez	VER	93	15	1.9	1.75	abattre	1
abattions	abatj§	abattre	VER			43.47	50.61	0.00	0.07	ind:imp:1p;	1	1	0	9	6	VCVCCVVCC	VCVCYV	1	3	0	0	a-ba-tj§	3	V-CV-CYV	snoittaba	§jtaba	a-bat-tions	VER	93	15	1.95	1.7	abattre	1
abattirent	abatiR	abattre	VER			43.47	50.61	0.03	0.95	ind:pas:3p;	1	1	0	10	6	VCVCCVCVCC	VCVCVC	0	4	0	0	a-ba-tiR	3	V-CV-CVC	tnerittaba	Ritaba	a-bat-ti-rent	VER	93	15	2.45	1.6	abattre	1
abattis	abati	abattis	NOM	m		0.14	1.08	0.14	1.08		2	4	1	7	5	VCVCCVC	VCVCV	3	11	6	5	a-ba-ti	3	V-CV-CV	sittaba	itaba	a-bat-tis	NOM,VER	51	27	1.65	1.25	abattis	1
abattis	abati	abattre	VER			43.47	50.61	0.00	0.27	ind:pas:1s;	2	4	0	7	5	VCVCCVC	VCVCV	3	11	6	5	a-ba-ti	3	V-CV-CV	sittaba	itaba	a-bat-tis	NOM,VER	93	15	1.65	1.25	abattre	1
abattit	abati	abattre	VER			43.47	50.61	0.34	5.07	ind:pas:3s;	1	4	0	7	5	VCVCCVC	VCVCV	2	11	0	5	a-ba-ti	3	V-CV-CV	tittaba	itaba	a-bat-tit	VER	93	15	1.75	1.25	abattre	1
abattoir	abatwaR	abattoir	NOM	m	s	3.16	4.66	2.67	2.36		1	2	1	8	7	VCVCCVVC	VCVCYVC	0	1	6	5	a-ba-twaR	3	V-CV-CYVC	riottaba	Rawtaba	a-bat-toir	NOM	100	25	2.35	1.9	abattoir	1
abattoirs	abatwaR	abattoir	NOM	m	p	3.16	4.66	0.48	2.30		1	2	0	9	7	VCVCCVVCC	VCVCYVC	0	1	0	5	a-ba-twaR	3	V-CV-CYVC	sriottaba	Rawtaba	a-bat-toirs	NOM	100	25	2.45	1.9	abattoir	1
abattons	abat§	abattre	VER			43.47	50.61	0.33	0.00	imp:pre:1p;ind:pre:1p;	1	1	0	8	5	VCVCCVCC	VCVCV	1	12	0	0	a-ba-t§	3	V-CV-CV	snottaba	§taba	a-bat-tons	VER	93	15	1.8	1.2	abattre	1
abattra	abatRa	abattre	VER			43.47	50.61	1.51	0.61	ind:fut:3s;	1	2	0	7	6	VCVCCCV	VCVCCV	1	3	0	0	a-ba-tRa	3	V-CV-CCV	arttaba	aRtaba	a-bat-tra	VER	93	15	1.75	1.6	abattre	1
abattrai	abatRE	abattre	VER			43.47	50.61	0.39	0.00	ind:fut:1s;	1	4	0	8	6	VCVCCCVV	VCVCCV	1	3	0	0	a-ba-tRE	3	V-CV-CCV	iarttaba	ERtaba	a-bat-trai	VER	93	15	1.95	1.55	abattre	1
abattraient	abatRE	abattre	VER			43.47	50.61	0.03	0.07	cnd:pre:3p;	1	4	0	11	6	VCVCCCVVVCC	VCVCCV	0	3	0	0	a-ba-tRE	3	V-CV-CCV	tneiarttaba	ERtaba	a-bat-traient	VER	93	15	2.45	1.55	abattre	1
abattrais	abatRE	abattre	VER			43.47	50.61	0.10	0.07	cnd:pre:1s;cnd:pre:2s;	1	4	0	9	6	VCVCCCVVC	VCVCCV	1	3	0	0	a-ba-tRE	3	V-CV-CCV	siarttaba	ERtaba	a-bat-trais	VER	93	15	1.85	1.55	abattre	1
abattrait	abatRE	abattre	VER			43.47	50.61	0.63	0.41	cnd:pre:3s;	1	4	0	9	6	VCVCCCVVC	VCVCCV	1	3	0	0	a-ba-tRE	3	V-CV-CCV	tiarttaba	ERtaba	a-bat-trait	VER	93	15	1.75	1.55	abattre	1
abattras	abatRa	abattre	VER			43.47	50.61	0.03	0.00	ind:fut:2s;	1	2	0	8	6	VCVCCCVC	VCVCCV	1	3	0	0	a-ba-tRa	3	V-CV-CCV	sarttaba	aRtaba	a-bat-tras	VER	93	15	1.75	1.6	abattre	1
abattre	abatR	abattre	VER			43.47	50.61	14.43	14.32	inf;	1	1	1	7	5	VCVCCCV	VCVCC	3	7	6	5	a-batR	2	V-CVCC	erttaba	Rtaba	a-bat-tre	VER	93	15	1.65	1.1	abattre	1
abattrez	abatRe	abattre	VER			43.47	50.61	0.26	0.00	ind:fut:2p;	1	1	0	8	6	VCVCCCVC	VCVCCV	1	4	0	0	a-ba-tRe	3	V-CV-CCV	zerttaba	eRtaba	a-bat-trez	VER	93	15	1.75	1.55	abattre	1
abattriez	abatRie	abattre	VER			43.47	50.61	0.02	0.00	cnd:pre:2p;	1	1	0	9	7	VCVCCCVVC	VCVCCVV	0	0	0	0	a-ba-tRi-e	4	V-CV-CCV-V	zeirttaba	eiRtaba	a-bat-triez	VER	93	15	2.5	2	abattre	1
abattrons	abatR§	abattre	VER			43.47	50.61	0.11	0.00	ind:fut:1p;	1	2	0	9	6	VCVCCCVCC	VCVCCV	2	4	0	0	a-ba-tR§	3	V-CV-CCV	snorttaba	§Rtaba	a-bat-trons	VER	93	15	2.05	1.55	abattre	1
abattront	abatR§	abattre	VER			43.47	50.61	0.34	0.07	ind:fut:3p;	1	2	0	9	6	VCVCCCVCC	VCVCCV	1	4	0	0	a-ba-tR§	3	V-CV-CCV	tnorttaba	§Rtaba	a-bat-tront	VER	93	15	2.4	1.55	abattre	1
abattu	abaty	abattre	VER	m	s	43.47	50.61	11.48	7.43	par:pas;	3	10	0	6	5	VCVCCV	VCVCV	1	7	6	5	a-ba-ty	3	V-CV-CV	uttaba	ytaba	a-bat-tu	VER,ADJ,NOM	93	15	1.75	1.45	abattre	1
abattu	abaty	abattu	ADJ	m	s	2.51	7.09	1.82	3.78		3	10	1	6	5	VCVCCV	VCVCV	1	7	6	5	a-ba-ty	3	V-CV-CV	uttaba	ytaba	a-bat-tu	VER,ADJ,NOM	100	19	1.75	1.45	a-battu	2
abattu	abaty	abattu	NOM	m	s	0.53	1.42	0.18	1.22		3	10	1	6	5	VCVCCV	VCVCV	1	7	6	5	a-ba-ty	3	V-CV-CV	uttaba	ytaba	a-bat-tu	VER,ADJ,NOM	83	24	1.75	1.45	a-battu	2
abattue	abaty	abattre	VER	f	s	43.47	50.61	2.19	2.43	par:pas;	2	10	0	7	5	VCVCCVV	VCVCV	2	7	0	5	a-ba-ty	3	V-CV-CV	euttaba	ytaba	a-bat-tue	VER,ADJ	93	15	1.65	1.45	abattre	1
abattue	abaty	abattu	ADJ	f	s	2.51	7.09	0.18	1.55		2	10	0	7	5	VCVCCVV	VCVCV	2	7	0	5	a-ba-ty	3	V-CV-CV	euttaba	ytaba	a-bat-tue	VER,ADJ	100	19	1.65	1.45	a-battu	2
abattues	abaty	abattre	VER	f	p	43.47	50.61	0.44	0.27	par:pas;	2	10	0	8	5	VCVCCVVC	VCVCV	0	7	0	5	a-ba-ty	3	V-CV-CV	seuttaba	ytaba	a-bat-tues	VER,ADJ	93	15	1.7	1.45	abattre	1
abattues	abaty	abattu	ADJ	f	p	2.51	7.09	0.04	0.68		2	10	0	8	5	VCVCCVVC	VCVCV	0	7	0	5	a-ba-ty	3	V-CV-CV	seuttaba	ytaba	a-bat-tues	VER,ADJ	100	19	1.7	1.45	a-battu	2
abattures	abatyR	abatture	NOM	f	p	0.00	0.14	0.00	0.14		1	1	0	9	6	VCVCCVCVC	VCVCVC	0	2	0	0	a-ba-tyR	3	V-CV-CVC	seruttaba	Rytaba	a-bat-tu-res	NOM			2.4	1.8	abatture	1
abattus	abaty	abattre	VER	m	p	43.47	50.61	2.42	2.43	par:pas;	3	10	0	7	5	VCVCCVC	VCVCV	3	7	0	5	a-ba-ty	3	V-CV-CV	suttaba	ytaba	a-bat-tus	VER,ADJ,NOM	93	15	1.65	1.45	abattre	1
abattus	abaty	abattu	ADJ	m	p	2.51	7.09	0.47	1.08		3	10	0	7	5	VCVCCVC	VCVCV	3	7	0	5	a-ba-ty	3	V-CV-CV	suttaba	ytaba	a-bat-tus	VER,ADJ,NOM	100	19	1.65	1.45	a-battu	2
abattus	abaty	abattu	NOM	m	p	0.53	1.42	0.35	0.20		3	10	0	7	5	VCVCCVC	VCVCV	3	7	0	5	a-ba-ty	3	V-CV-CV	suttaba	ytaba	a-bat-tus	VER,ADJ,NOM	83	24	1.65	1.45	a-battu	2
abbatial	abasjal	abbatial	ADJ	m	s	0.00	0.61	0.00	0.27		1	4	1	8	7	VCCVCVVC	VCVCYVC	0	0	8	5	a-ba-sjal	3	V-CV-CYVC	laitabba	lajsaba	ab-ba-tial	ADJ	75	24	3.5	2.5	abbatial	1
abbatiale	abasjal	abbatial	ADJ	f	s	0.00	0.61	0.00	0.27		2	4	0	9	7	VCCVCVVCV	VCVCYVC	0	0	9	5	a-ba-sjal	3	V-CV-CYVC	elaitabba	lajsaba	ab-ba-tia-le	ADJ,NOM	75	24	3.4	2.5	abbatial	1
abbatiale	abasjal	abbatiale	NOM	f	s	0.00	0.14	0.00	0.14		2	4	1	9	7	VCCVCVVCV	VCVCYVC	0	0	9	5	a-ba-sjal	3	V-CV-CYVC	elaitabba	lajsaba	ab-ba-tia-le	ADJ,NOM	60	28	3.4	2.5	abbatiale	1
abbatiales	abasjal	abbatial	ADJ	f	p	0.00	0.61	0.00	0.07		1	4	0	10	7	VCCVCVVCVC	VCVCYVC	0	0	0	5	a-ba-sjal	3	V-CV-CYVC	selaitabba	lajsaba	ab-ba-tia-les	ADJ	75	24	3.5	2.5	abbatial	1
abbaye	abei	abbaye	NOM	f	s	3.94	3.78	3.66	3.31		1	2	1	6	4	VCCVVV	VCVV	0	2	5	4	a-be-i	3	V-CV-V	eyabba	ieba	ab-baye	NOM	100	23	2.65	1.75	abbaye	1
abbayes	abei	abbaye	NOM	f	p	3.94	3.78	0.28	0.47		1	2	0	7	4	VCCVVVC	VCVV	0	2	0	4	a-be-i	3	V-CV-V	seyabba	ieba	ab-bayes	NOM	100	23	2.75	1.75	abbaye	1
abbesse	abEs	abbé	NOM	f	s	4.46	33.51	0.26	0.41		1	6	0	7	4	VCCVCCV	VCVC	0	4	0	4	a-bEs	2	V-CVC	essebba	sEba	ab-bes-se	NOM	90	22	2.5	1.4	abbé	1
abbesses	abEs	abbé	NOM	f	p	4.46	33.51	0.00	0.61		1	6	0	8	4	VCCVCCVC	VCVC	0	4	0	4	a-bEs	2	V-CVC	sessebba	sEba	ab-bes-ses	NOM	90	22	2.65	1.4	abbé	1
abbé	abe	abbé	NOM	m	s	4.46	33.51	4.19	31.28		1	3	1	4	3	VCCV	VCV	0	15	4	3	a-be	2	V-CV	ébba	eba	ab-bé	NOM	90	22	1.95	1.15	abbé	1
abbés	abe	abbé	NOM	m	p	4.46	33.51	0.02	1.22		1	3	0	5	3	VCCVC	VCV	0	15	0	3	a-be	2	V-CV	sébba	eba	ab-bés	NOM	90	22	1.95	1.15	abbé	1
abc	abese	abc	NOM	m		0.04	0.00	0.04	0.00		1	10	1	3	5	VCC	VCVCV	1	2	3	5	a-be-se	3	V-CV-CV	cba	eseba	abc	NOM			1.95	1.8	abc	1
abcès	apsE	abcès	NOM	m		1.79	3.31	1.79	3.31		1	1	1	5	4	VCCVC	VCCV	1	5	4	4	ap-sE	2	VC-CV	sècba	Espa	ab-cès	NOM	90	32	2.05	1.65	abcès	1
abdication	abdikasj§	abdication	NOM	f	s	0.05	1.96	0.05	1.82		1	2	1	10	9	VCCVCVCVVC	VCCVCVCYV	0	0	5	6	ab-di-ka-sj§	4	VC-CV-CV-CYV	noitacidba	§jsakidba	ab-di-ca-tion	NOM	70	20	2.65	2.55	abdiquer-ion	2
abdications	abdikasj§	abdication	NOM	f	p	0.05	1.96	0.00	0.14		1	2	0	11	9	VCCVCVCVVCC	VCCVCVCYV	0	0	0	6	ab-di-ka-sj§	4	VC-CV-CV-CYV	snoitacidba	§jsakidba	ab-di-ca-tions	NOM	70	20	2.75	2.55	abdiquer-ion	2
abdiqua	abdika	abdiquer	VER			0.47	2.77	0.00	0.20	ind:pas:3s;	1	1	0	7	6	VCCVCVV	VCCVCV	2	3	0	0	ab-di-ka	3	VC-CV-CV	auqidba	akidba	ab-di-qua	VER	100	25	2.15	1.75	abdiquer	1
abdiquai	abdikE	abdiquer	VER			0.47	2.77	0.00	0.07	ind:pas:1s;	1	4	0	8	6	VCCVCVVV	VCCVCV	0	3	0	0	ab-di-kE	3	VC-CV-CV	iauqidba	Ekidba	ab-di-quai	VER	100	25	2.3	1.75	abdiquer	1
abdiquaient	abdikE	abdiquer	VER			0.47	2.77	0.00	0.07	ind:imp:3p;	1	4	0	11	6	VCCVCVVVVCC	VCCVCV	0	3	0	0	ab-di-kE	3	VC-CV-CV	tneiauqidba	Ekidba	ab-di-quaient	VER	100	25	2.65	1.75	abdiquer	1
abdiquais	abdikE	abdiquer	VER			0.47	2.77	0.00	0.14	ind:imp:1s;	1	4	0	9	6	VCCVCVVVC	VCCVCV	1	3	0	0	ab-di-kE	3	VC-CV-CV	siauqidba	Ekidba	ab-di-quais	VER	100	25	2.45	1.75	abdiquer	1
abdiquait	abdikE	abdiquer	VER			0.47	2.77	0.00	0.20	ind:imp:3s;	1	4	0	9	6	VCCVCVVVC	VCCVCV	2	3	0	0	ab-di-kE	3	VC-CV-CV	tiauqidba	Ekidba	ab-di-quait	VER	100	25	2.3	1.75	abdiquer	1
abdiquant	abdik@	abdiquer	VER			0.47	2.77	0.00	0.07	par:pre;	1	1	0	9	6	VCCVCVVCC	VCCVCV	1	3	0	0	ab-di-k@	3	VC-CV-CV	tnauqidba	@kidba	ab-di-quant	VER	100	25	2.45	1.8	abdiquer	1
abdique	abdik	abdiquer	VER			0.47	2.77	0.23	0.41	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	1	0	7	5	VCCVCVV	VCCVC	2	1	0	0	ab-dik	2	VC-CVC	euqidba	kidba	ab-di-que	VER	100	25	1.75	1.75	abdiquer	1
abdiquer	abdike	abdiquer	VER			0.47	2.77	0.08	0.41	inf;	1	4	1	8	6	VCCVCVVC	VCCVCV	1	3	5	6	ab-di-ke	3	VC-CV-CV	reuqidba	ekidba	ab-di-quer	VER	100	25	2.25	1.8	abdiquer	1
abdiquera	abdik°Ra	abdiquer	VER			0.47	2.77	0.01	0.07	ind:fut:3s;	1	1	0	9	8	VCCVCVVCV	VCCVCVCV	0	1	0	0	ab-di-k°-Ra	4	VC-CV-CV-CV	areuqidba	aR°kidba	ab-di-que-ra	VER	100	25	2.5		abdiquer	1
abdiquerais	abdik°RE	abdiquer	VER			0.47	2.77	0.00	0.07	cnd:pre:1s;	1	2	0	11	8	VCCVCVVCVVC	VCCVCVCV	1	1	0	0	ab-di-k°-RE	4	VC-CV-CV-CV	siareuqidba	ER°kidba	ab-di-que-rais	VER	100	25	2.7		abdiquer	1
abdiquerait	abdik°RE	abdiquer	VER			0.47	2.77	0.00	0.07	cnd:pre:3s;	1	2	0	11	8	VCCVCVVCVVC	VCCVCVCV	1	1	0	0	ab-di-k°-RE	4	VC-CV-CV-CV	tiareuqidba	ER°kidba	ab-di-que-rait	VER	100	25	2.65		abdiquer	1
abdiquez	abdike	abdiquer	VER			0.47	2.77	0.03	0.00	imp:pre:2p;ind:pre:2p;	1	4	0	8	6	VCCVCVVC	VCCVCV	1	3	0	6	ab-di-ke	3	VC-CV-CV	zeuqidba	ekidba	ab-di-quez	VER	100	25	2.3	1.8	abdiquer	1
abdiqué	abdike	abdiquer	VER	m	s	0.47	2.77	0.11	0.95	par:pas;	1	4	0	7	6	VCCVCVV	VCCVCV	2	3	0	6	ab-di-ke	3	VC-CV-CV	éuqidba	ekidba	ab-di-qué	VER	100	25	2.3	1.8	abdiquer	1
abdiquée	abdike	abdiquer	VER	f	s	0.47	2.77	0.00	0.07	par:pas;	1	4	0	8	6	VCCVCVVV	VCCVCV	0	3	0	6	ab-di-ke	3	VC-CV-CV	eéuqidba	ekidba	ab-di-quée	VER	100	25	2.4	1.8	abdiquer	1
abdomen	abdomEn	abdomen	NOM	m	s	2.76	1.55	2.76	1.55		1	1	1	7	7	VCCVCVC	VCCVCVC	0	0	6	6	ab-do-mEn	3	VC-CV-CVC	nemodba	nEmodba	ab-do-men	NOM	100	24	3	2.85	abdomen	1
abdominal	abdominal	abdominal	ADJ	m	s	2.56	0.74	0.50	0.00		1	3	1	9	9	VCCVCVCVC	VCCVCVCVC	0	0	6	6	ab-do-mi-nal	4	VC-CV-CV-CVC	lanimodba	lanimodba	ab-do-mi-nal	ADJ	92	27	3.3	3.5	abdomin-al	2
abdominale	abdominal	abdominal	ADJ	f	s	2.56	0.74	1.30	0.61		1	3	0	10	9	VCCVCVCVCV	VCCVCVCVC	0	0	0	6	ab-do-mi-nal	4	VC-CV-CV-CVC	elanimodba	lanimodba	ab-do-mi-na-le	ADJ	92	27	3.3	3.5	abdomin-al	2
abdominales	abdominal	abdominal	ADJ	f	p	2.56	0.74	0.70	0.00		1	3	0	11	9	VCCVCVCVCVC	VCCVCVCVC	0	0	0	6	ab-do-mi-nal	4	VC-CV-CV-CVC	selanimodba	lanimodba	ab-do-mi-na-les	ADJ	92	27	3.45	3.5	abdomin-al	2
abdominaux	abdomino	abdominal	ADJ	m	p	2.56	0.74	0.06	0.14		2	2	0	10	8	VCCVCVCVVC	VCCVCVCV	0	0	0	0	ab-do-mi-no	4	VC-CV-CV-CV	xuanimodba	onimodba	ab-do-mi-naux	ADJ,NOM	92	27	3.7	3	abdomin-al	2
abdominaux	abdomino	abdominal	NOM	m	p	0.09	0.68	0.09	0.68		2	2	0	10	8	VCCVCVCVVC	VCCVCVCV	0	0	0	0	ab-do-mi-no	4	VC-CV-CV-CV	xuanimodba	onimodba	ab-do-mi-naux	ADJ,NOM			3.7	3	abdominal	1
abdos	abdo	abdos	NOM	m	p	0.86	0.00	0.86	0.00		1	1	1	5	4	VCCVC	VCCV	0	1	5	4	ab-do	2	VC-CV	sodba	odba	ab-dos	NOM	91	24	1.95	1.9	abdos	1
abducteur	abdykt9R	abducteur	ADJ	m	s	0.01	0.00	0.01	0.00		1	1	1	9	8	VCCVCCVVC	VCCVCCVC	1	0	7	6	ab-dyk-t9R	3	VC-CVC-CVC	ruetcudba	R9tkydba	ab-duc-teur	ADJ	57	28	2.65	2.65	abducteur	1
abduction	abdyksj§	abduction	NOM	f	s	0.05	0.00	0.05	0.00		1	1	1	9	8	VCCVCCVVC	VCCVCCYV	1	0	7	6	ab-dyk-sj§	3	VC-CVC-CYV	noitcudba	§jskydba		NOM			2.45	2.4	abduct-ion	2
abeille	abEj	abeille	NOM	f	s	9.11	9.86	3.53	3.18		1	2	1	7	4	VCVVCCV	VCVY	0	3	4	4	a-bEj	2	V-CVY	ellieba	jEba	a-beil-le	NOM	100	26	1.95	1.85	abeille	1
